round,p1_jid,p1_strategy,p1_action,p2_jid,p2_strategy,p2_action,p1_payoff,p2_payoff,p1_cumulative,p2_cumulative
48,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,10,0,201,191
49,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,0,10,201,201
50,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,1,1,202,202
51,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,10,0,212,202
52,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,1,1,213,203
53,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,5,5,218,208
54,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,5,5,223,213
55,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,10,0,233,213
56,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,1,1,234,214
57,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,5,5,239,219
58,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,10,0,249,219
59,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,0,10,249,229
60,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,1,1,250,230
61,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,10,0,260,230
62,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,0,10,260,240
63,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,1,1,261,241
64,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,10,0,271,241
65,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,0,10,271,251
66,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,1,1,272,252
67,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,5,5,277,257
68,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,5,5,282,262
69,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,10,0,292,262
70,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,0,10,292,272
71,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,1,1,293,273
72,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,10,0,303,273
73,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,0,10,303,283
74,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,0,10,303,293
75,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,1,1,304,294
76,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,5,5,309,299
77,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,5,5,314,304
78,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,5,5,319,309
79,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,10,0,329,309
80,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,0,10,329,319
81,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,1,1,330,320
82,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,5,5,335,325
83,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,5,5,340,330
84,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,10,0,350,330
85,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,1,1,351,331
86,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,10,0,361,331
87,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,0,10,361,341
88,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,0,10,361,351
89,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,1,1,362,352
90,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,10,0,372,352
91,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,0,10,372,362
92,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,0,10,372,372
