round,p1_jid,p1_strategy,p1_action,p2_jid,p2_strategy,p2_action,p1_payoff,p2_payoff,p1_cumulative,p2_cumulative
55,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,10,0,204,194
56,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,205,195
57,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,206,196
58,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,0,10,206,206
59,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,5,5,211,211
60,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,5,5,216,216
61,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,10,0,226,216
62,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,227,217
63,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,0,10,227,227
64,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,10,0,237,227
65,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,238,228
66,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,0,10,238,238
67,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,5,5,243,243
68,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,5,5,248,248
69,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,10,0,258,248
70,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,0,10,258,258
71,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,5,5,263,263
72,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,10,0,273,263
73,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,274,264
74,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,275,265
75,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,276,266
76,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,277,267
77,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,0,10,277,277
78,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,10,0,287,277
79,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,288,278
80,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,289,279
81,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,0,10,289,289
82,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,5,5,294,294
83,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,5,5,299,299
84,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,5,5,304,304
85,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,5,5,309,309
86,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,10,0,319,309
87,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,320,310
88,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,321,311
89,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,0,10,321,321
90,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,10,0,331,321
91,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,332,322
92,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,0,10,332,332
93,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,10,0,342,332
94,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,343,333
95,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,344,334
96,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,0,10,344,344
97,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,5,5,349,349
98,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,10,0,359,349
99,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,360,350
100,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,0,10,360,360
101,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,10,0,370,360
102,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,0,10,370,370
103,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,5,5,375,375
104,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,5,5,380,380
105,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,10,0,390,380
106,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,0,10,390,390
107,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,5,5,395,395
108,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,10,0,405,395
109,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,406,396
110,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,407,397
111,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,0,10,407,407
112,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,5,5,412,412
113,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,5,5,417,417
114,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,5,5,422,422
115,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,10,0,432,422
116,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,433,423
117,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,434,424
118,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,1,1,435,425
119,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,0,10,435,435
120,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,D,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,C,10,0,445,435
121,player_d3157403-631d-488b-b379-9953c4a61e5c@localhost,Random,C,player_3383ca6a-76dc-4d22-af7f-376efff7c09c@localhost,TitForTat,D,0,10,445,445
