round,p1_jid,p1_strategy,p1_action,p2_jid,p2_strategy,p2_action,p1_payoff,p2_payoff,p1_cumulative,p2_cumulative
258,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1290,1290
259,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1300,1290
260,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1300,1300
261,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1310,1300
262,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1310,1310
263,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1320,1310
264,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1320,1320
265,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1330,1320
266,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1330,1330
267,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1340,1330
268,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1340,1340
269,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1350,1340
270,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1350,1350
271,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1360,1350
272,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1360,1360
273,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1370,1360
274,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1370,1370
275,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1380,1370
276,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1380,1380
277,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1390,1380
278,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1390,1390
279,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1400,1390
280,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1400,1400
281,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1410,1400
