round,p1_jid,p1_strategy,p1_action,p2_jid,p2_strategy,p2_action,p1_payoff,p2_payoff,p1_cumulative,p2_cumulative
52,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,D,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,1,1,37,267
53,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,C,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,0,10,37,277
54,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,C,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,0,10,37,287
55,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,C,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,0,10,37,297
56,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,D,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,1,1,38,298
57,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,C,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,0,10,38,308
58,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,C,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,0,10,38,318
59,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,D,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,1,1,39,319
60,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,C,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,0,10,39,329
61,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,D,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,1,1,40,330
62,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,D,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,1,1,41,331
63,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,C,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,0,10,41,341
64,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,D,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,1,1,42,342
65,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,D,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,1,1,43,343
66,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,C,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,0,10,43,353
67,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,D,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,1,1,44,354
68,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,C,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,0,10,44,364
69,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,C,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,0,10,44,374
70,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,D,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,1,1,45,375
71,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,C,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,0,10,45,385
72,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,C,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,0,10,45,395
73,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,C,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,0,10,45,405
74,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,C,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,0,10,45,415
75,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,D,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,1,1,46,416
76,player_cc508a77-8c2c-4094-8bf2-cd9f83d8d723@localhost,Random,D,player_44d216ab-243f-4dec-86c3-f284dbe4180f@localhost,GrimTrigger,D,1,1,47,417
