round,p1_jid,p1_strategy,p1_action,p2_jid,p2_strategy,p2_action,p1_payoff,p2_payoff,p1_cumulative,p2_cumulative
67,player_960310d1-0c0f-4b13-ae39-7e87e9bc7c0b@localhost,Random,C,player_d6cd9759-3c26-4486-8753-b95fb871c79d@localhost,SuspiciousTitForTat,D,0,10,230,240
68,player_960310d1-0c0f-4b13-ae39-7e87e9bc7c0b@localhost,Random,D,player_d6cd9759-3c26-4486-8753-b95fb871c79d@localhost,SuspiciousTitForTat,C,10,0,240,240
69,player_960310d1-0c0f-4b13-ae39-7e87e9bc7c0b@localhost,Random,C,player_d6cd9759-3c26-4486-8753-b95fb871c79d@localhost,SuspiciousTitForTat,D,0,10,240,250
70,player_960310d1-0c0f-4b13-ae39-7e87e9bc7c0b@localhost,Random,C,player_d6cd9759-3c26-4486-8753-b95fb871c79d@localhost,SuspiciousTitForTat,C,5,5,245,255
71,player_960310d1-0c0f-4b13-ae39-7e87e9bc7c0b@localhost,Random,C,player_d6cd9759-3c26-4486-8753-b95fb871c79d@localhost,SuspiciousTitForTat,C,5,5,250,260
72,player_960310d1-0c0f-4b13-ae39-7e87e9bc7c0b@localhost,Random,C,player_d6cd9759-3c26-4486-8753-b95fb871c79d@localhost,SuspiciousTitForTat,C,5,5,255,265
73,player_960310d1-0c0f-4b13-ae39-7e87e9bc7c0b@localhost,Random,D,player_d6cd9759-3c26-4486-8753-b95fb871c79d@localhost,SuspiciousTitForTat,C,10,0,265,265
74,player_960310d1-0c0f-4b13-ae39-7e87e9bc7c0b@localhost,Random,D,player_d6cd9759-3c26-4486-8753-b95fb871c79d@localhost,SuspiciousTitForTat,D,1,1,266,266
75,player_960310d1-0c0f-4b13-ae39-7e87e9bc7c0b@localhost,Random,D,player_d6cd9759-3c26-4486-8753-b95fb871c79d@localhost,SuspiciousTitForTat,D,1,1,267,267
76,player_960310d1-0c0f-4b13-ae39-7e87e9bc7c0b@localhost,Random,C,player_d6cd9759-3c26-4486-8753-b95fb871c79d@localhost,SuspiciousTitForTat,D,0,10,267,277
77,player_960310d1-0c0f-4b13-ae39-7e87e9bc7c0b@localhost,Random,C,player_d6cd9759-3c26-4486-8753-b95fb871c79d@localhost,SuspiciousTitForTat,C,5,5,272,282
78,player_960310d1-0c0f-4b13-ae39-7e87e9bc7c0b@localhost,Random,C,player_d6cd9759-3c26-4486-8753-b95fb871c79d@localhost,SuspiciousTitForTat,C,5,5,277,287
79,player_960310d1-0c0f-4b13-ae39-7e87e9bc7c0b@localhost,Random,D,player_d6cd9759-3c26-4486-8753-b95fb871c79d@localhost,SuspiciousTitForTat,C,10,0,287,287
